id,name,position,minutes,starts,chance_next,influence,creativity,threat,ict,bps,cost,goals,assists,xG,xA,xGI
133,Peart-Harris,3,1,0,0,0.0,0.0,0.0,0.0,2,44,0,0,0.0,0.0,0.0
134,Trevitt,3,0,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0.0,0.0,0.0
136,Thiago,4,3282,37,100,1019.4,382.5,1170.0,256.9,710,72,22,1,20.6,1.83,22.43
137,Morgan,4,0,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0.0,0.0,0.0
748,Dasilva,3,2,0,100,0.4,11.3,4.0,1.6,5,49,0,0,0.08,0.0,0.08
797,Furo,4,1,0,100,0.0,0.0,0.0,0.0,2,45,0,0,0.0,0.0,0.0
810,Bentt,3,0,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0.0,0.0,0.0
826,Owen,3,0,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0.0,0.0,0.0
157,Mitoma,3,1714,19,0,288.4,422.3,416.0,112.3,247,61,3,1,4.04,2.74,6.78
158,Georginio,3,1776,20,100,338.6,349.5,448.0,113.5,290,56,3,5,2.9,2.9,5.8
159,March,3,38,0,100,7.4,2.2,23.0,3.2,18,58,0,0,0.04,0.02,0.06
160,Minteh,3,2389,26,100,491.8,691.4,617.0,180.3,466,55,3,8,3.81,5.06,8.87
161,Enciso,3,0,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0.0,0.0,0.0
162,Gruda,3,708,8,0,134.4,217.1,152.0,50.0,114,54,1,1,1.86,0.88,2.74
163,Hinshelwood,3,1736,20,100,312.6,228.0,412.0,94.8,317,52,4,5,4.94,2.34,7.28
164,O'Riley,3,202,2,100,65.4,67.7,63.0,19.6,48,55,1,0,1.21,0.18,1.39
165,Sima,3,0,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0.0,0.0,0.0
166,Ayari,3,1921,20,100,359.8,251.3,231.0,84.5,406,48,3,4,2.7,1.15,3.85
167,Baleba,3,1646,23,100,166.8,156.3,44.0,36.8,231,45,0,0,0.78,0.72,1.5
169,Gomez,3,2117,26,100,438.2,319.7,432.0,119.0,361,49,5,1,6.24,1.72,7.96
170,Milner,3,772,7,100,139.0,151.4,59.0,34.7,158,49,1,1,1.03,0.66,1.69
171,Sarmiento,3,0,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0.0,0.0,0.0
172,Watson,3,57,0,0,6.0,2.4,7.0,1.6,15,48,0,0,0.04,0.03,0.07
173,Wieffer,3,1901,23,100,477.0,291.1,209.0,97.7,398,48,2,4,1.92,1.86,3.78
174,Yalcouye,3,0,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0.0,0.0,0.0
175,Knight,3,1,0,0,0.0,0.0,0.0,0.0,3,44,0,0,0.0,0.0,0.0
176,Mazilu,3,0,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0.0,0.0,0.0
177,Moran,3,0,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0.0,0.0,0.0
178,Welbeck,4,2249,26,100,578.8,309.7,803.0,168.2,511,63,13,1,12.36,1.4,13.76
179,Ferguson,4,0,0,0,0.0,0.0,0.0,0.0,0,55,0,0,0.0,0.0,0.0
180,Tzimas,4,132,1,0,66.6,65.7,44.0,17.7,55,52,1,1,0.44,0.11,0.55
181,Kostoulas,4,351,2,0,143.6,126.5,255.0,52.4,140,48,2,1,2.12,0.54,2.66
744,Oriola,3,1,0,0,0.0,0.0,0.0,0.0,3,45,0,0,0.0,0.0,0.0
783,Groß,3,1636,18,0,397.2,668.2,220.0,128.5,389,56,1,6,1.39,3.95,5.34
795,Howell,3,92,1,0,10.2,5.1,2.0,1.8,11,45,0,0,0.0,0.03,0.03
235,Palmer,3,1954,24,100,536.6,393.6,547.0,147.7,430,103,10,2,10.55,2.49,13.04
236,Neto,3,2629,30,100,523.0,836.2,505.0,186.7,543,70,5,7,4.59,6.84,11.43
237,Enzo,3,3114,35,100,835.6,1063.2,747.0,264.6,700,65,10,5,11.26,7.26,18.52
238,Estêvão,3,839,12,0,183.4,230.9,314.0,72.6,172,64,2,5,2.91,2.14,5.05
239,Gittens,3,486,5,25,93.0,130.4,91.0,31.3,99,60,0,2,0.81,0.94,1.75
