id,minutes_5,position,avg_points_5,avg_influence_5,avg_creativity_5,bps_5,clean_sheets_5,goals_conceded_5,tackles_5,defensive_contribution_5
378,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
379,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
380,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
692,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
760,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
260,72.0,2,4.2,20.64,8.14,16.6,2,4,5,28
402,20.6,2,1.4,2.2,6.42,4.4,1,0,4,5
403,13.8,2,0.4,2.88,0.96,2.4,0,0,0,4
404,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
405,39.6,2,1.6,5.680000000000001,3.72,6.8,1,2,0,7
406,54.0,2,2.2,10.48,2.4400000000000004,8.8,1,4,4,17
407,65.4,2,1.8,12.080000000000002,10.879999999999999,10.2,1,4,6,21
408,18.0,2,0.2,2.32,2.54,1.2,0,2,0,3
409,17.0,2,0.8,5.040000000000001,0.96,2.0,0,2,1,11
410,18.0,2,0.0,0.6799999999999999,3.04,-0.6,0,2,0,0
411,54.0,2,1.6,7.359999999999999,6.4,5.4,1,4,2,12
412,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
740,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
794,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
436,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
437,54.0,2,3.0,14.080000000000002,2.8600000000000003,14.4,2,2,6,25
438,41.6,2,3.6,11.559999999999999,9.940000000000001,13.8,2,1,6,24
439,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
440,54.0,2,1.2,10.08,7.2,3.8,0,5,8,23
441,22.2,2,4.2,13.319999999999999,8.02,12.0,1,0,1,3
442,90.0,2,5.4,27.119999999999997,4.86,22.2,2,5,10,53
443,84.6,2,5.0,19.040000000000003,4.98,18.4,3,4,12,38
444,6.8,2,0.6,1.8800000000000001,0.06,1.4,0,1,1,5
445,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
446,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
