id,minutes,position,GW,avg_points_5,points,avg_influence_5,avg_creativity_5,bps,clean_sheets_5,saves_5,goals_conceded_5,penalties_saved_5
1,90.0,1,6,5.2,2,23.359999999999996,2.0,23.0,3,13,2,0
1,90.0,1,7,3.6,6,16.68,2.0,17.6,2,8,3,0
1,90.0,1,8,3.6,6,14.64,2.0,16.0,2,7,3,0
1,90.0,1,9,4.4,6,11.56,0.0,17.8,3,5,2,0
1,90.0,1,10,4.4,6,12.000000000000002,0.02,18.0,3,5,2,0
1,90.0,1,11,5.2,1,8.28,0.04,19.4,4,3,1,0
1,90.0,1,12,5.0,2,5.44,0.04,16.8,4,1,2,0
1,90.0,1,13,4.2,3,6.12,0.04,14.0,3,2,3,0
1,90.0,1,14,3.6,6,9.2,0.04,12.2,2,5,4,0
1,90.0,1,15,3.6,2,9.2,0.02,12.4,2,5,4,0
1,90.0,1,16,2.8,2,15.680000000000001,0.0,11.0,1,9,6,0
1,90.0,1,17,3.0,7,18.080000000000002,0.02,13.0,1,10,5,0
1,90.0,1,18,4.0,2,20.080000000000002,0.02,17.4,2,10,4,0
1,90.0,1,19,3.8,2,20.44,2.02,17.2,2,9,4,0
1,90.0,1,20,3.0,1,21.44,2.02,14.4,1,10,5,0
1,90.0,1,21,2.8,6,15.84,2.02,12.4,1,7,5,0
1,90.0,1,22,3.6,6,14.000000000000004,2.0,14.6,2,6,4,0
1,90.0,1,23,3.4,1,11.92,2.0,13.6,2,5,4,0
1,90.0,1,24,3.2,6,8.52,0.0,10.8,2,3,6,0
1,90.0,1,25,4.0,7,6.44,0.0,13.2,3,2,5,0
1,90.0,1,26,5.2,2,9.32,2.02,18.6,4,3,3,0
1,90.0,1,27,4.4,1,12.440000000000001,2.02,17.4,3,5,4,0
1,90.0,1,28,3.4,3,11.2,2.02,12.2,2,5,6,0
1,90.0,1,29,3.8,3,15.88,2.62,16.4,2,9,4,0
1,90.0,1,30,3.2,7,14.2,2.62,14.0,1,12,5,0
1,90.0,1,31,3.2,7,12.680000000000001,0.6,13.0,1,12,5,0
1,90.0,1,32,4.2,1,12.68,0.6,16.0,2,13,4,0
1,90.0,1,33,4.2,1,15.559999999999999,0.6,18.2,2,14,4,0
1,90.0,1,34,3.8,10,14.12,0.0,16.2,2,12,5,0
1,90.0,1,35,5.2,6,18.520000000000003,0.0,20.0,3,11,4,0
1,90.0,1,36,5.0,9,18.08,0.02,19.4,3,10,4,0
1,90.0,1,37,5.4,6,18.72,0.02,19.6,3,10,4,0
1,90.0,1,38,6.4,0,16.28,0.02,22.0,4,9,2,0
2,0.0,1,6,0.0,0,0.0,0.0,0.0,0,0,0,0
2,0.0,1,7,0.0,0,0.0,0.0,0.0,0,0,0,0
2,0.0,1,8,0.0,0,0.0,0.0,0.0,0,0,0,0
2,0.0,1,9,0.0,0,0.0,0.0,0.0,0,0,0,0
2,0.0,1,10,0.0,0,0.0,0.0,0.0,0,0,0,0
2,0.0,1,11,0.0,0,0.0,0.0,0.0,0,0,0,0
2,0.0,1,12,0.0,0,0.0,0.0,0.0,0,0,0,0
2,0.0,1,13,0.0,0,0.0,0.0,0.0,0,0,0,0
2,0.0,1,14,0.0,0,0.0,0.0,0.0,0,0,0,0
2,0.0,1,15,0.0,0,0.0,0.0,0.0,0,0,0,0
2,0.0,1,16,0.0,0,0.0,0.0,0.0,0,0,0,0
2,0.0,1,17,0.0,0,0.0,0.0,0.0,0,0,0,0
2,0.0,1,18,0.0,0,0.0,0.0,0.0,0,0,0,0
2,0.0,1,19,0.0,0,0.0,0.0,0.0,0,0,0,0
2,0.0,1,20,0.0,0,0.0,0.0,0.0,0,0,0,0
2,0.0,1,21,0.0,0,0.0,0.0,0.0,0,0,0,0
2,0.0,1,22,0.0,0,0.0,0.0,0.0,0,0,0,0
2,0.0,1,23,0.0,0,0.0,0.0,0.0,0,0,0,0
2,0.0,1,24,0.0,0,0.0,0.0,0.0,0,0,0,0
2,0.0,1,25,0.0,0,0.0,0.0,0.0,0,0,0,0
2,0.0,1,26,0.0,0,0.0,0.0,0.0,0,0,0,0
2,0.0,1,27,0.0,0,0.0,0.0,0.0,0,0,0,0
2,0.0,1,28,0.0,0,0.0,0.0,0.0,0,0,0,0
2,0.0,1,29,0.0,0,0.0,0.0,0.0,0,0,0,0
2,0.0,1,30,0.0,0,0.0,0.0,0.0,0,0,0,0
