id,minutes_5,position,avg_points_5,avg_influence_5,avg_creativity_5,bps_5,goals_scored_5,assists_5
689,0.0,3,0.0,0.0,0.0,0.0,0,0
714,45.2,4,2.6,11.44,21.5,12.6,1,0
772,0.0,3,0.0,0.0,0.0,0.0,0,0
426,23.0,3,1.6,6.8,7.300000000000002,5.6,0,1
515,58.0,3,6.6,33.12,15.540000000000001,23.0,3,2
516,0.0,3,0.0,0.0,0.0,0.0,0,0
517,75.8,3,7.2,37.120000000000005,19.839999999999996,26.6,2,2
518,0.0,3,0.0,0.0,0.0,0.0,0,0
519,45.8,3,1.0,9.760000000000002,4.6,8.2,0,0
520,0.0,3,0.0,0.0,0.0,0.0,0,0
521,25.8,3,1.2,7.4,1.12,5.2,0,0
522,36.6,3,1.0,8.080000000000002,2.88,4.2,0,0
523,0.0,3,0.0,0.0,0.0,0.0,0,0
524,0.0,3,0.0,0.0,0.0,0.0,0,0
525,51.6,4,2.6,12.28,4.74,10.4,1,0
526,73.2,4,4.8,24.32,10.8,19.4,2,2
527,42.4,4,4.6,18.36,7.42,17.8,2,2
669,0.0,3,0.0,0.0,0.0,0.0,0,0
693,49.6,3,2.4,10.2,18.32,10.0,0,1
696,0.0,4,0.0,0.0,0.0,0.0,0,0
734,32.4,3,2.2,6.28,9.819999999999999,8.0,0,1
805,1.4,4,0.2,0.0,0.06,-0.2,0,0
543,0.0,3,0.0,0.0,0.0,0.0,0,0
544,24.8,3,1.2,4.52,6.959999999999999,4.0,0,1
545,0.0,3,0.0,0.0,0.0,0.0,0,0
546,0.0,3,0.0,0.0,0.0,0.0,0,0
547,90.0,3,5.4,26.52,34.540000000000006,24.4,1,1
548,0.0,3,0.0,0.0,0.0,0.0,0,0
549,0.0,3,0.0,0.0,0.0,0.0,0,0
550,0.0,3,0.0,0.0,0.0,0.0,0,0
551,11.8,3,1.2,4.92,2.66,4.2,0,1
552,83.4,3,2.4,5.92,14.180000000000001,11.2,0,0
553,39.6,3,1.2,2.16,2.96,3.0,0,0
554,0.0,3,0.0,0.0,0.0,0.0,0,0
555,0.0,3,0.0,0.0,0.0,0.0,0,0
556,0.0,3,0.0,0.0,0.0,0.0,0,0
557,0.0,3,0.0,0.0,0.0,0.0,0,0
558,0.0,3,0.0,0.0,0.0,0.0,0,0
559,0.0,3,0.0,0.0,0.0,0.0,0,0
560,17.0,4,1.6,8.24,1.22,8.4,1,0
561,0.2,4,0.2,0.0,0.0,0.6,0,0
562,0.0,4,0.0,0.0,0.0,0.0,0,0
